meas_homogeneous,meas_phantom,difference
1.282735257588702403e-02,1.275546815862313443e-02,-7.188441726388959674e-05
1.233521762395242347e-02,1.195160238999175284e-02,-3.836152339606706263e-04
1.283670428537038444e-02,1.203062805646538599e-02,-8.060762289049984430e-04
1.448953174715025133e-02,1.357711839253949657e-02,-9.124133546107547621e-04
1.793644155857358757e-02,1.751510646472315830e-02,-4.213350938504292764e-04
2.499090957553100345e-02,2.510125938576746041e-02,1.103498102364569577e-04
4.114880714423291286e-02,4.148284609520332122e-02,3.340389509704083659e-04
9.098293898113328504e-02,9.134840681125790118e-02,3.654678301246161443e-04
9.092443899706584287e-02,9.114887397957811832e-02,2.244349825122754494e-04
4.110200342750085223e-02,4.131744440646463457e-02,2.154409789637823369e-04
2.495868166969301971e-02,2.515662808094144137e-02,1.979464112484216609e-04
1.792305920616286269e-02,1.807419623153399407e-02,1.511370253711313838e-04
1.446431006004152142e-02,1.449148111209114589e-02,2.717105204962447229e-05
1.281515355066060319e-02,1.256279404688361197e-02,-2.523595037769912203e-04
1.232742369037216276e-02,1.165044325497427077e-02,-6.769804353978919886e-04
1.281932530925154051e-02,1.195153433688021793e-02,-8.677909723713225776e-04
1.445862760088960017e-02,1.395383656349345053e-02,-5.047910373961496389e-04
1.792272566018372065e-02,1.789297250802197176e-02,-2.975315216174889699e-05
2.496048789078717661e-02,2.517210401151175059e-02,2.116161207245739750e-04
4.106570770550951877e-02,4.134511596965995128e-02,2.794082641504325171e-04
9.079589603761327454e-02,9.107614012188863795e-02,2.802440842753634032e-04
9.094524423767991195e-02,9.118243293917441261e-02,2.371887014945006644e-04
4.109572556022600409e-02,4.133177548269362234e-02,2.360499224676182450e-04
2.496126712158810990e-02,2.517266876187539137e-02,2.114016402872814782e-04
1.792264383696756669e-02,1.803750837800012496e-02,1.148645410325582761e-04
1.446809998699751312e-02,1.432465994397517234e-02,-1.434400430223407852e-04
1.282269892988160791e-02,1.223826207096914698e-02,-5.844368589124609298e-04
1.232591079181340372e-02,1.147322739710839035e-02,-8.526833947050133783e-04
1.280911599163599840e-02,1.222821602632238012e-02,-5.808999653136182745e-04
1.446732481038373250e-02,1.432698690688585103e-02,-1.403379034978814721e-04
1.792637929180139478e-02,1.804298725820393384e-02,1.166079664025390650e-04
2.494733393173086816e-02,2.515958831889152092e-02,2.122543871606527577e-04
4.106487139218172044e-02,4.130147973962057517e-02,2.366083474388547270e-04
9.095034377298856498e-02,9.118806767884861386e-02,2.377239058600488786e-04
9.087249003613412368e-02,9.115216182997515348e-02,2.796717938410298032e-04
4.108863623740399706e-02,4.136732369363653461e-02,2.786874562325375448e-04
2.495882042239383480e-02,2.516886705911222655e-02,2.100466367183917438e-04
1.792731783663534945e-02,1.789454687824058865e-02,-3.277095839476079631e-05
1.447731832344919048e-02,1.396898491648434354e-02,-5.083334069648469400e-04
1.282214220873769198e-02,1.195414467672123796e-02,-8.679975320164540209e-04
1.231835059140542164e-02,1.164500798003957616e-02,-6.733426113658454865e-04
1.281951009288099727e-02,1.257038444024218687e-02,-2.491256526388103965e-04
1.447396153639124786e-02,1.450302472651818567e-02,2.906319012693781012e-05
1.792217602839196733e-02,1.807425260520702931e-02,1.520765768150619812e-04
2.495941245325037500e-02,2.515786840183940887e-02,1.984559485890338704e-04
4.114306391083372150e-02,4.135892020377948675e-02,2.158562929457652491e-04
9.092443899706589838e-02,9.114887397957814608e-02,2.244349825122476938e-04
9.092147991124149842e-02,9.128610871147335715e-02,3.646288002318587296e-04
4.110317010093890444e-02,4.143563589188309360e-02,3.324657909441891546e-04
2.497214615864575687e-02,2.507959158255317761e-02,1.074454239074207340e-04
1.794163154089716689e-02,1.751727875375665849e-02,-4.243527871405083918e-04
1.447759546021840094e-02,1.356575741011026293e-02,-9.118380501081380096e-04
1.281493109264621871e-02,1.201348696258830798e-02,-8.014441300579107363e-04
1.232791785896502831e-02,1.194798276548331151e-02,-3.799350934817168068e-04
1.282398968531790230e-02,1.275407058133574620e-02,-6.991910398215610278e-05
1.446755858012564386e-02,1.455336439042115293e-02,8.580581029550907179e-05
1.792674671168817402e-02,1.808381244307324942e-02,1.570657313850754022e-04
2.499324178779230993e-02,2.518588633484963868e-02,1.926445470573287522e-04
4.110200342750090774e-02,4.131744440646467620e-02,2.154409789637684591e-04
9.094524423767988419e-02,9.118243293917441261e-02,2.371887014945284200e-04
9.089991004632254346e-02,9.140710048919646613e-02,5.071904428739226756e-04
4.109948282251174589e-02,4.141960739018493709e-02,3.201245676731911960e-04
2.497677009659018260e-02,2.468846033131675416e-02,-2.883097652734284422e-04
1.793074981872096185e-02,1.695844487417029478e-02,-9.723049445506670718e-04
1.446153736934161632e-02,1.347678175490487490e-02,-9.847556144367414221e-04
1.281785443747901487e-02,1.225735828014453896e-02,-5.604961573344759140e-04
1.232569680699024950e-02,1.212118555482520968e-02,-2.045112521650398196e-04
1.281166142360981412e-02,1.280632593470010933e-02,-5.335488909704796945e-06
1.446499507632812917e-02,1.456303032462539365e-02,9.803524829726448231e-05
1.794229980277614600e-02,1.809919239195242890e-02,1.568925891762829039e-04
2.495868166969302665e-02,2.515662808094143443e-02,1.979464112484077831e-04
4.109572556022599021e-02,4.133177548269362234e-02,2.360499224676321228e-04
9.087249003613402654e-02,9.115216182997509797e-02,2.796717938410714366e-04
9.091986424913948983e-02,9.160006640806063472e-02,6.802021589211448838e-04
4.112014970883128007e-02,4.111930178074137132e-02,-8.479280899087449086e-07
2.496858309477981847e-02,2.396707310681284869e-02,-1.001509987966969772e-03
1.791747462837469523e-02,1.667758165794019226e-02,-1.239892970434502972e-03
1.447001147319215697e-02,1.364057691544763931e-02,-8.294345577445176587e-04
1.282019410641413101e-02,1.240749049546006552e-02,-4.127036109540654918e-04
1.231820750414127155e-02,1.216440213885211855e-02,-1.538053652891530065e-04
1.281453099567267558e-02,1.280851584053059947e-02,-6.015155142076109018e-06
1.448221712132334235e-02,1.456723001785545368e-02,8.501289653211133168e-05
1.792305920616286269e-02,1.807419623153401489e-02,1.511370253711522005e-04
2.496126712158817235e-02,2.517266876187538444e-02,2.114016402872120892e-04
4.108863623740402482e-02,4.136732369363654849e-02,2.786874562325236671e-04
9.092147991124167883e-02,9.128610871147337102e-02,3.646288002316921961e-04
9.091093712111106284e-02,9.157641760357049243e-02,6.654804824594295898e-04
4.108521054170939657e-02,4.026810283810065838e-02,-8.171077036087381895e-04
2.494240191255104461e-02,2.341258631278182040e-02,-1.529815599769224210e-03
1.792310965143189411e-02,1.670061417788466784e-02,-1.222495473547226263e-03
1.446926710144417691e-02,1.372126722534713558e-02,-7.479998760970413274e-04
1.280959909680101129e-02,1.239599136385094447e-02,-4.136077329500668226e-04
1.231911440049771392e-02,1.211282877843555122e-02,-2.062856220621626935e-04
1.282735257588703791e-02,1.275546815862312403e-02,-7.188441726391388287e-05
1.446431006004152836e-02,1.449148111209114936e-02,2.717105204962100284e-05
1.792264383696757363e-02,1.803750837800009721e-02,1.148645410325235816e-04
2.495882042239384868e-02,2.516886705911219185e-02,2.100466367183431715e-04
4.110317010093897383e-02,4.143563589188309360e-02,3.324657909441197656e-04
9.089991004632266836e-02,9.140710048919639674e-02,5.071904428737283865e-04
9.087626626195116630e-02,9.100738033746966216e-02,1.311140755184958540e-04
4.106564295978092083e-02,3.950762746940705838e-02,-1.558015490373862444e-03
2.496227290352170253e-02,2.329906004084995874e-02,-1.663212862671743786e-03
1.792988021174691388e-02,1.670559644059405741e-02,-1.224283771152856470e-03
1.446267629045816516e-02,1.363091556901095680e-02,-8.317607214472083621e-04
1.281552979351986872e-02,1.225170092390475557e-02,-5.638288696151131513e-04
1.233521762395257265e-02,1.195160238999165743e-02,-3.836152339609152223e-04
1.281515355066028053e-02,1.256279404688356340e-02,-2.523595037767171340e-04
1.446809998699721822e-02,1.432465994397537704e-02,-1.434400430218411848e-04
1.792731783663517597e-02,1.789454687824049844e-02,-3.277095839467752958e-05
2.497214615864566667e-02,2.507959158255299720e-02,1.074454239073305284e-04
4.109948282251171814e-02,4.141960739018511750e-02,3.201245676733993628e-04
9.091986424913937881e-02,9.160006640806085676e-02,6.802021589214779507e-04
9.089855592596009226e-02,9.056676458174679756e-02,-3.317913442132947033e-04
4.112250428027690308e-02,3.956012155179285117e-02,-1.562382728484051908e-03
2.498436484964098453e-02,2.345027230502610971e-02,-1.534092544614874820e-03
1.792925366867640508e-02,1.668588132260757223e-02,-1.243372346068832845e-03
1.447570095730162099e-02,1.348677170877303141e-02,-9.889292485285895717e-04
1.283670428537026995e-02,1.203062805646540334e-02,-8.060762289048666041e-04
1.232742369037250971e-02,1.165044325497424649e-02,-6.769804353982632195e-04
1.282269892988180740e-02,1.223826207096896483e-02,-5.844368589128425689e-04
1.447731832344930150e-02,1.396898491648441293e-02,-5.083334069648885734e-04
1.794163154089720852e-02,1.751727875375679033e-02,-4.243527871404181862e-04
2.497677009659012709e-02,2.468846033131661538e-02,-2.883097652735117089e-04
4.112014970883137721e-02,4.111930178074123254e-02,-8.479280901446673013e-07
9.091093712111131264e-02,9.157641760357006222e-02,6.654804824587495782e-04
9.099240090186978824e-02,9.111927419956322716e-02,1.268732976934389134e-04
4.113655121905286649e-02,4.031881522324547162e-02,-8.177359958073948665e-04
2.496741292786375244e-02,2.396683228138178634e-02,-1.000580646481966096e-03
1.793465601594319836e-02,1.696271953732137600e-02,-9.719364786218223640e-04
1.448953174715019582e-02,1.357711839253946534e-02,-9.124133546107304760e-04
1.281932530925175909e-02,1.195153433688011732e-02,-8.677909723716417667e-04
1.232591079181350954e-02,1.147322739710829320e-02,-8.526833947052163409e-04
1.282214220873776483e-02,1.195414467672128132e-02,-8.679975320164835112e-04
1.447759546021842175e-02,1.356575741011031844e-02,-9.118380501081033152e-04
1.793074981872095491e-02,1.695844487417027396e-02,-9.723049445506809496e-04
2.496858309477993643e-02,2.396707310681282094e-02,-1.001509987967115489e-03
4.108521054170942433e-02,4.026810283810054736e-02,-8.171077036088769674e-04
9.087626626195111079e-02,9.100738033747005074e-02,1.311140755189399432e-04
9.087636452270177190e-02,9.153984250050287153e-02,6.634779778010996276e-04
4.105871253028024748e-02,4.105962612282468283e-02,9.135925444353487634e-07
2.495283970574942861e-02,2.466764234878365825e-02,-2.851973569657703655e-04
1.793644155857351125e-02,1.751510646472303687e-02,-4.213350938504743792e-04
1.445862760089003732e-02,1.395383656349315910e-02,-5.047910373968782227e-04
1.280911599163622738e-02,1.222821602632215635e-02,-5.808999653140710373e-04
1.231835059140552920e-02,1.164500798003966116e-02,-6.733426113658680379e-04
1.281493109264620830e-02,1.201348696258834614e-02,-8.014441300578621641e-04
1.446153736934161632e-02,1.347678175490485755e-02,-9.847556144367587694e-04
1.791747462837482707e-02,1.667758165794014369e-02,-1.239892970434683384e-03
2.494240191255104461e-02,2.341258631278173019e-02,-1.529815599769314416e-03
4.106564295978060164e-02,3.950762746940728043e-02,-1.558015490373321210e-03
9.089855592596034206e-02,9.056676458174667266e-02,-3.317913442136694036e-04
9.085131243138032386e-02,9.153219189180153426e-02,6.808794604212103918e-04
4.110191450952009606e-02,4.142442765585870046e-02,3.225131463386043951e-04
2.499090957553106590e-02,2.510125938576754367e-02,1.103498102364777744e-04
1.792272566018320717e-02,1.789297250802228401e-02,-2.975315216092316861e-05
1.446732481038353474e-02,1.432698690688610083e-02,-1.403379034974339135e-04
1.281951009288090013e-02,1.257038444024210187e-02,-2.491256526387982534e-04
1.232791785896505607e-02,1.194798276548328375e-02,-3.799350934817723180e-04
1.281785443747903222e-02,1.225735828014455978e-02,-5.604961573344724446e-04
1.447001147319210493e-02,1.364057691544771217e-02,-8.294345577443927586e-04
1.792310965143207452e-02,1.670061417788470254e-02,-1.222495473547371980e-03
2.496227290352164008e-02,2.329906004084947302e-02,-1.663212862672167058e-03
4.112250428027662552e-02,3.956012155179310097e-02,-1.562382728483524552e-03
9.099240090186974661e-02,9.111927419956321328e-02,1.268732976934666690e-04
